Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
15/01/2025,2024/25,Blackburn,Portsmouth,3,0,H,0,0,D,F Hallam,13,11,6,2,15,19,5,6,1,3,0,0,20250115,English Second
14/01/2025,2024/25,Cardiff,Watford,1,1,D,0,0,D,O Langford,12,4,4,2,8,14,7,3,1,2,0,0,20250114,English Second
14/01/2025,2024/25,Plymouth,Oxford,1,1,D,0,1,A,S Allison,11,8,2,3,8,10,6,3,1,1,0,0,20250114,English Second
6/01/2025,2024/25,QPR,Luton,2,1,H,1,1,D,A Davies,15,18,6,4,10,9,3,4,1,1,0,0,20250106,English Second
5/01/2025,2024/25,Sunderland,Portsmouth,1,0,H,1,0,H,T Bramall,24,6,8,1,9,10,7,3,1,2,0,1,20250105,English Second
4/01/2025,2024/25,Blackburn,Burnley,0,1,A,0,0,D,A Kitchen,11,4,1,2,16,18,10,0,2,2,0,0,20250104,English Second
4/01/2025,2024/25,Stoke,Plymouth,0,0,D,0,0,D,D Whitestone,18,2,3,1,13,11,6,3,1,2,0,0,20250104,English Second
4/01/2025,2024/25,Swansea,West Brom,1,1,D,0,0,D,S Allison,11,16,2,4,6,8,5,6,2,4,0,0,20250104,English Second
4/01/2025,2024/25,Bristol City,Derby,1,0,H,1,0,H,W Finnie,11,9,2,3,7,12,6,7,3,1,0,0,20250104,English Second
4/01/2025,2024/25,Hull,Leeds,3,3,D,1,0,H,A Backhouse,15,17,6,9,14,9,5,7,0,1,0,0,20250104,English Second
4/01/2025,2024/25,Middlesbrough,Cardiff,1,1,D,1,1,D,T Nield,9,8,3,2,9,15,4,4,2,3,0,0,20250104,English Second
4/01/2025,2024/25,Norwich,Coventry,2,1,H,0,1,A,J Bell,24,6,9,2,9,16,9,1,1,2,0,0,20250104,English Second
4/01/2025,2024/25,Preston,Oxford,1,1,D,0,1,A,B Toner,19,5,5,3,12,13,4,2,3,3,0,0,20250104,English Second
4/01/2025,2024/25,Sheffield Weds,Millwall,2,2,D,1,0,H,R Jones,14,14,2,6,16,17,4,2,1,3,0,0,20250104,English Second
4/01/2025,2024/25,Watford,Sheffield United,1,2,A,1,1,D,D Webb,7,7,4,6,9,8,4,0,2,1,0,0,20250104,English Second
1/01/2025,2024/25,Plymouth,Bristol City,2,2,D,0,1,A,T Robinson,15,14,7,6,12,12,1,6,1,0,0,0,20250101,English Second
1/01/2025,2024/25,QPR,Watford,3,1,H,2,0,H,S Martin,9,12,5,3,16,18,2,6,4,4,0,0,20250101,English Second
1/01/2025,2024/25,Millwall,Oxford,0,1,A,0,0,D,R Ricardo,15,8,4,2,15,11,3,4,0,1,0,0,20250101,English Second
1/01/2025,2024/25,Burnley,Stoke,0,0,D,0,0,D,G Ward,18,14,2,3,8,16,6,2,1,4,1,0,20250101,English Second
1/01/2025,2024/25,Cardiff,Coventry,1,1,D,1,0,H,G Eltringham,12,17,2,7,8,9,6,9,2,0,1,0,20250101,English Second
1/01/2025,2024/25,Leeds,Blackburn,1,1,D,0,0,D,O Langford,12,4,4,2,9,15,8,3,2,4,0,0,20250101,English Second
1/01/2025,2024/25,Luton,Norwich,0,1,A,0,0,D,J Gillett,14,10,3,2,11,9,9,5,1,1,0,0,20250101,English Second
1/01/2025,2024/25,Portsmouth,Swansea,4,0,H,2,0,H,J Linington,14,12,6,3,12,5,6,6,1,0,0,0,20250101,English Second
1/01/2025,2024/25,Sheffield Weds,Derby,4,2,H,1,0,H,L Smith,13,17,8,8,8,8,4,11,1,2,0,0,20250101,English Second
1/01/2025,2024/25,West Brom,Preston,3,1,H,3,0,H,R Madley,12,10,7,5,12,14,3,5,1,4,0,0,20250101,English Second
1/01/2025,2024/25,Hull,Middlesbrough,0,1,A,0,0,D,L Doughty,7,17,0,6,14,6,3,7,2,1,0,0,20250101,English Second
1/01/2025,2024/25,Sunderland,Sheffield United,2,1,H,2,1,H,M Donohue,14,16,6,3,13,7,4,10,4,1,0,0,20250101,English Second
29/12/2024,2024/25,Norwich,QPR,1,1,D,0,1,A,S Barrott,19,4,4,0,15,18,4,4,1,4,0,0,20241229,English Second
29/12/2024,2024/25,Preston,Sheffield Weds,3,1,H,1,0,H,S Gill,14,18,7,3,15,18,3,6,0,2,0,0,20241229,English Second
29/12/2024,2024/25,Sheffield United,West Brom,1,1,D,1,1,D,S Attwell,14,10,2,6,12,11,2,2,3,2,0,0,20241229,English Second
29/12/2024,2024/25,Blackburn,Hull,0,1,A,0,0,D,D Whitestone,14,8,2,3,12,16,8,3,3,0,0,0,20241229,English Second
29/12/2024,2024/25,Bristol City,Portsmouth,3,0,H,3,0,H,J Busby,20,5,7,2,11,10,10,4,1,1,0,0,20241229,English Second
29/12/2024,2024/25,Coventry,Millwall,0,0,D,0,0,D,A Kitchen,6,10,1,2,13,15,5,5,0,1,0,0,20241229,English Second
29/12/2024,2024/25,Oxford,Plymouth,2,0,H,1,0,H,D Webb,14,11,5,2,9,15,9,6,0,2,0,0,20241229,English Second
29/12/2024,2024/25,Stoke,Sunderland,1,0,H,0,0,D,J Bell,11,22,4,7,17,11,4,12,5,2,0,0,20241229,English Second
29/12/2024,2024/25,Swansea,Luton,2,1,H,1,1,D,F Hallam,12,4,9,1,14,17,8,1,1,2,0,1,20241229,English Second
29/12/2024,2024/25,Watford,Cardiff,1,2,A,1,2,A,S Allison,9,9,1,3,15,12,4,2,2,3,0,0,20241229,English Second
29/12/2024,2024/25,Derby,Leeds,0,1,A,0,0,D,A Davies,4,17,1,6,14,9,2,9,1,1,0,0,20241229,English Second
29/12/2024,2024/25,Middlesbrough,Burnley,0,0,D,0,0,D,J Smith,8,8,3,1,10,12,1,4,1,3,0,0,20241229,English Second
26/12/2024,2024/25,Blackburn,Sunderland,2,2,D,1,0,H,R Madley,12,13,3,4,11,14,5,4,2,3,0,0,20241226,English Second
26/12/2024,2024/25,Bristol City,Luton,1,0,H,0,0,D,P Bankes,10,7,3,2,9,9,5,4,2,1,0,0,20241226,English Second
26/12/2024,2024/25,Coventry,Plymouth,4,0,H,4,0,H,A Herczeg,19,5,9,1,7,11,4,4,0,1,0,1,20241226,English Second
26/12/2024,2024/25,Middlesbrough,Sheffield Weds,3,3,D,3,0,H,A Backhouse,7,15,4,5,11,12,1,9,0,2,1,0,20241226,English Second
26/12/2024,2024/25,Norwich,Millwall,2,1,H,2,0,H,T Nield,9,8,4,2,8,11,4,2,2,1,0,0,20241226,English Second
26/12/2024,2024/25,Oxford,Cardiff,3,2,H,1,0,H,G Ward,13,8,5,3,14,7,3,0,1,1,0,0,20241226,English Second
26/12/2024,2024/25,Preston,Hull,1,0,H,0,0,D,J Smith,8,10,2,4,10,13,2,2,3,1,0,0,20241226,English Second
26/12/2024,2024/25,Sheffield United,Burnley,0,2,A,0,1,A,O Langford,9,8,3,4,10,14,6,5,3,1,0,0,20241226,English Second
26/12/2024,2024/25,Swansea,QPR,3,0,H,3,0,H,B Toner,10,4,8,0,13,8,3,3,2,3,0,0,20241226,English Second
26/12/2024,2024/25,Watford,Portsmouth,2,1,H,0,1,A,G Eltringham,13,5,6,1,12,13,11,5,1,6,1,0,20241226,English Second
26/12/2024,2024/25,Derby,West Brom,2,1,H,1,0,H,J Gillett,13,14,4,3,13,8,5,3,1,1,0,0,20241226,English Second
